          atime         eps_uu         eps_vv         eps_ww         pm1avg           tavg
  7.8507600E+01 -5.1490983E-01 -1.0686833E-06  0.0000000E+00 -1.6610282E-01  0.0000000E+00
  7.8507600E+01 -1.4500981E-01 -1.1919586E-02  0.0000000E+00 -1.5595039E-01  0.0000000E+00
  7.8507600E+01 -3.0421090E-02 -1.6536336E-02  0.0000000E+00 -1.3835731E-01  0.0000000E+00
  7.8507600E+01 -2.0988707E-02 -1.1737554E-02  0.0000000E+00 -1.2275543E-01  0.0000000E+00
  7.8507600E+01 -1.7071738E-02 -8.5440154E-03  0.0000000E+00 -1.1106176E-01  0.0000000E+00
  7.8507600E+01 -1.5258931E-02 -7.3998387E-03  0.0000000E+00 -1.0210151E-01  0.0000000E+00
  7.8507600E+01 -1.4554211E-02 -7.1686192E-03  0.0000000E+00 -9.4979763E-02  0.0000000E+00
  7.8507600E+01 -1.3984564E-02 -7.1505289E-03  0.0000000E+00 -8.9197737E-02  0.0000000E+00
  7.8507600E+01 -1.3274567E-02 -7.1097587E-03  0.0000000E+00 -8.4401720E-02  0.0000000E+00
  7.8507600E+01 -1.2785791E-02 -7.0596407E-03  0.0000000E+00 -8.0317141E-02  0.0000000E+00
  7.8507600E+01 -1.2355403E-02 -7.0394304E-03  0.0000000E+00 -7.6772222E-02  0.0000000E+00
  7.8507600E+01 -1.1738455E-02 -6.9840504E-03  0.0000000E+00 -7.3619448E-02  0.0000000E+00
  7.8507600E+01 -1.1194741E-02 -6.9078924E-03  0.0000000E+00 -7.0759602E-02  0.0000000E+00
  7.8507600E+01 -1.0771717E-02 -6.8110430E-03  0.0000000E+00 -6.8142782E-02  0.0000000E+00
  7.8507600E+01 -1.0596220E-02 -6.7130994E-03  0.0000000E+00 -6.5718719E-02  0.0000000E+00
  7.8507600E+01 -1.0870169E-02 -6.5610015E-03  0.0000000E+00 -6.3448271E-02  0.0000000E+00
  7.8507600E+01 -1.0845897E-02 -6.3843081E-03  0.0000000E+00 -6.1309144E-02  0.0000000E+00
  7.8507600E+01 -1.0511306E-02 -6.2545027E-03  0.0000000E+00 -5.9265877E-02  0.0000000E+00
  7.8507600E+01 -1.0059837E-02 -6.1429550E-03  0.0000000E+00 -5.7294700E-02  0.0000000E+00
  7.8507600E+01 -9.4006931E-03 -6.0080400E-03  0.0000000E+00 -5.5378073E-02  0.0000000E+00
  7.8507600E+01 -9.0188718E-03 -5.8458860E-03  0.0000000E+00 -5.3514610E-02  0.0000000E+00
  7.8507600E+01 -8.9410667E-03 -5.6693708E-03  0.0000000E+00 -5.1696233E-02  0.0000000E+00
  7.8507600E+01 -8.9789364E-03 -5.5136406E-03  0.0000000E+00 -4.9920196E-02  0.0000000E+00
  7.8507600E+01 -8.6668510E-03 -5.3698048E-03  0.0000000E+00 -4.8195321E-02  0.0000000E+00
  7.8507600E+01 -7.9517277E-03 -5.2346855E-03  0.0000000E+00 -4.6523736E-02  0.0000000E+00
